name,location,show_date_time,event_price,summary,url
HALLOWEEN goes BOOM - Exeter's best Halloween Party!,Boom Battle Bar ExeterGuildhall Shopping Centre Exeter EX4 3HP United Kingdom,"Starts on Saturday, October 26 · 12pm GMT+1",£0 – £2.33,"Killer DJs, playing adrenalin fuelled games, getting scared out of our wits by performers, revelling in the spooky decor and more 'til 3am!",https://www.eventbrite.com/e/halloween-goes-boom-exeters-best-halloween-party-tickets-1029341667637?aff=ebdssbdestsearch
Kids Halloween Party,The Allerford InnAllerford Norton Fitzwarren TA4 1AL United Kingdom,"Thu, 31 Oct 2024 17:00 - 20:00 GMT",Free,"Get ready for a spooktacular Kids Halloween Party filled with costumes, games, treats, and lots of fun! Food included for kids with ticket!",https://www.eventbrite.com/e/kids-halloween-party-tickets-1032529612867?aff=ebdssbdestsearch
Fizzy Friday Painting Workshop - Halloween Special,Exeter Community Centre17 Saint Davids Hill Exeter EX4 3RG United Kingdom,"Friday, October 25 · 5:15 - 7:20pm GMT+1",£33.22,"A Halloween Special art workshop for adults, in which you’ll learn techniques to create a dark, atmospheric painting on a black canvas.",https://www.eventbrite.co.uk/e/fizzy-friday-painting-workshop-halloween-special-tickets-1023496113427?aff=ebdssbdestsearch
Halloween Craft Workshop,"Brixham Heritage MuseumBolton Cross, New Road Brixham TQ5 8LZ United Kingdom","Wednesday, October 30 · 11:30am - 1pm GMT.Doors at 11:20am",Free,Get ready to get crafty this Halloween at our spooky workshop where you can create your own boo-tiful decorations and crafts!,https://www.eventbrite.co.uk/e/halloween-craft-workshop-tickets-1037753718307?aff=ebdssbdestsearch
BEATCIRCUS//NO10//HALLOWEEN,Things Happen Herethings happen here Dartington TQ9 6JD United Kingdom,"Starts on Sat, 26 Oct 2024 20:00 GMT",From £9.38,"Join Beat Circus this Halloween for a night of bass-heavy beats, Latin, Afro & Caribbean vibes mixed with Breaks, House, DnB & Hip-Hop!",https://www.eventbrite.co.uk/e/beatcircusno10halloween-tickets-1023543986617?aff=ebdssbdestsearch
Nu:Motive Exeter Halloween • Sota & Comma Dee + More,Move4 The Quay Exeter EX2 4AP United Kingdom,"Starts on Saturday, October 26 · 10pm GMT",Free,"Nu:Motive are back in Exeter for their annual Halloween Rave - this time inviting the man of the moment, Sota!",https://www.eventbrite.co.uk/e/numotive-exeter-halloween-sota-comma-dee-more-tickets-927256949497?aff=ebdssbdestsearch
Doorstep Arts Presents: A Haunted Halloween,Paignton Library and Information CentreGreat Western Road Paignton TQ4 5AG United Kingdom,"Thursday, October 31 · 6 - 9:30pm GMT",£1.79 – £3.96,Prepare for a night of spooktacular fun and a few freights as Doorstep Arts presents a Haunted Halloween at Paignton Library.,https://www.eventbrite.co.uk/e/doorstep-arts-presents-a-haunted-halloween-tickets-981641124027?aff=ebdssbdestsearch
BEATCIRCUS//HALLOWEEN KIDS RAVE,Things Happen Herethings happen here Dartington TQ9 6JD United Kingdom,"Starts on Sat, 26 Oct 2024 13:00 GMT+1",£3.96,You and your whole family are invited to Beat Circus’s *Kids Rave* - an after-school disco for any age!,https://www.eventbrite.co.uk/e/beatcircushalloween-kids-rave-tickets-1024736784307?aff=ebdssbdestsearch
Children's Halloween Craft,South Brent Old School Community CentreThe Old School  Community Centre Totnes Rd South Brent TQ10 9BP United Kingdom,"Thursday, October 31 · 10am - 12pm GMT",Free,Make some spooky crafts to take home!,https://www.eventbrite.co.uk/e/childrens-halloween-craft-tickets-1037791902517?aff=ebdssbdestsearch
The Hub Halloween party,Dartington Village HallCott Road Dartington TQ9 6HH United Kingdom,"Thu, 31 Oct 2024 15:30 - 17:30 GMT",Free,Get ready to spook and dance at The Hub Halloween party - it's gonna be a wicked good time!  ages 3-11 years.,https://www.eventbrite.com/e/the-hub-halloween-party-tickets-1047148528437?aff=ebdssbdestsearch
Halloween Throwdown,Paradise Fitness Newton AbbotThe pavilion Seale Hayne Newton Abbot TQ12 6NQ United Kingdom,"Sat, 26 Oct 2024 07:30 - 17:00 GMT+1",Free,"Get ready to throw down at our Halloween Throwdown event, where we'll have spooky games, fierce competitions, and a costume contest to die f",https://www.eventbrite.co.uk/e/halloween-throwdown-tickets-999126021827?aff=ebdssbdestsearch
Moster Messy Play - Halloween Themed,YMCA South DevonClennon Park Valley TQ4 6NX United Kingdom,"Sat, 26 Oct 2024 14:00 - 15:30 GMT+1",Free,"Get ready for a spooky, slimy, and super messy Halloween-themed Messy Play, where kids can unleash their inner monsters and have a blast!",https://www.eventbrite.com/e/moster-messy-play-halloween-themed-tickets-1039230595687?aff=ebdssbdestsearch
Halloween Felting for Furry Friends!,RSPCA Little Valley Animal ShelterBlack Hat Lane #Little Valley Animal Shelter Bakers Hill EX2 9TA United Kingdom,"Friday, October 25 · 1 - 3pm GMT+1",Free,"Join us for a guided beginners felting workshop where all materials are supplied, and all money raised will help animals at our shelter.",https://www.eventbrite.co.uk/e/halloween-felting-for-furry-friends-tickets-1015376637857?aff=ebdssbdestsearch
Nashville At Heart | Live in St Austell (EXTRA NIGHT ADDED),The Keay Theatre1 Tregonissey Road St Austell PL25 4DJ United Kingdom,"Starts on Thu, 28 Nov 2024 19:30 GMT",Sold Out,All your favourite modern country songs in one amazing live show.....delivered by the incredible 'Nashville At Heart'!,https://www.eventbrite.co.uk/e/nashville-at-heart-live-in-st-austell-extra-night-added-tickets-881333972637?aff=ebdssbdestsearch
Doreen Doreen,The Fleece12 Saint Thomas Street Bristol BS1 6JJ United Kingdom,"Fri, 18 Oct 2024 19:00 - 22:30 GMT+1",Sold Out,Doreen Doreen,https://www.eventbrite.co.uk/e/doreen-doreen-tickets-880040062517?aff=ebdssbdestsearch
Get Lasting Relief from IBS and Painful Gut Problems 2.0 - Bristol,Virtual via zoomBristol Bristol United Kingdom,October 21 · 11pm - October 22 · 12am GMT+1,Free,An empowering transformative workshop designed specifically for individuals who are ready to fully commit to a comprehensive healing plan.,https://www.eventbrite.com/e/get-lasting-relief-from-ibs-and-painful-gut-problems-20-bristol-tickets-993675489137?aff=ebdssbdestsearch
Just a booklub. (October meetup),The Grasshopper139-141 Bournemouth Road Poole BH14 9HT United Kingdom,"Wed, 23 Oct 2024 18:30 - 20:30 GMT+1",Free,Join us for booklub's October meetup. This month we'll be reading...,https://www.eventbrite.co.uk/e/just-a-booklub-october-meetup-tickets-1028319610637?aff=ebdssbdestsearch
